,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
3108,OneNeck IT Solutions,usa, WI 53711, Fitchburg,5515 Nobel Dr,60000.0,,,41.145138,-104.7689332
3109,Lumen,usa, OK, Wynnewood,201 East Robert S Kerr Boulevard,7445.0,919.0,,34.9550817,-97.2684063
3110,Flexential,usa, UT 84084, West Jordan,7202 S Campus View Dr,30512.0,30512.0,1.2,,
3111,CyrusOne,germany, Frankfurt am Main,Wilhelm-Fay-Straße,,124431.0,,22.0,50.1106444,8.6820917
3112,H5 Data Centers,usa, WA, Seattle,1000 Denny Way,293000.0,40000.0,30.0,47.2868352,-120.212613
3113,Digital Realty,usa, IL, Elk Grove Village,2299 Busse Road,336000.0,,40.0,40.0796606,-89.4337288
3114,365 Data Centers,usa, NY, Buffalo,350 Main Street,,19000.0,1.33,43.1561681,-75.8449946
3115,Digital Realty,uk, Crawley RH10 9BE, Power Ave, Digital Realty Unit 1,119500.0,,18.0,51.1103444,-0.1801094
3116,China Telecom,china, Guangxi, Nanning,Qingxiu,,,,24.0,109.0
3117,Enzu,usa, OR, Hillsboro,23605 Northeast Huffman Street,,,,43.9792797,-120.737257
3118,Zenlayer,usa, GA, Atlanta,250 Williams Street Northwest,18000.0,,1.6,32.3293809,-83.1137366
3119,Data Canopy,usa, NJ, Totowa,50 Madison Rd,200000.0,50000.0,16.0,40.0757384,-74.4041622
3120,OneNeck IT Solutions,usa, CO 80112, Englewood,8675 Concord Center Dr,35000.0,,,,
3121,Zenlayer,china, Jiangsu, Nanjing, Jiangning District,,,,33.0000001,119.9999999
3122,TierPoint,usa, OK, Tulsa,12151 East State Farm Boulevard South,32000.0,16000.0,,34.9550817,-97.2684063
3123,365 Data Centers,usa, PA, Philadelphia, Market Street,,20540.0,1.1,40.9699889,-77.7278831
3124,Prime Data Centers,usa, CA, Santa Clara,2215 Martin Avenue,79500.0,32738.0,9.0,36.7014631,-118.755997
3125,China Telecom,china, Shanghai Shi, Pudong Xinqu,Qianzhouyuan,,,,31.2323437,121.4691024
3126,LightEdge,usa, NE 68046, Papillion,1148 American Parkway,21377.0,10000.0,1.25,,
3127,DataBank,usa, CO, Westminster,7579 West 103rd Avenue,29500.0,9890.0,0.5,38.7251776,-105.607716
3128,Lumen,usa, PA, Philadelphia,401 North Broad Street,54099.0,9099.0,,40.9699889,-77.7278831
3129,Cirion Technologies,peru, Lima, Los Granados,Av. Manuel Olguín 395,5000.0,4000.0,4.0,-12.0621065,-77.0365256
3130,China Telecom,china, Guangdong, Shenzhen,Bao'an,,,,23.1357694,113.1982688
3131,Equinix,canada, MB R3T 0P6, Winnipeg,1450 Waverley Street,64000.0,25000.0,,49.841247,-97.1529429
3132,Lumen,usa, CA, Hayward,23965 Connecticut St,8000.0,,,36.7014631,-118.755997
3133,Iron Mountain Data Centers,india, Telangana 500084, Hyderabad, Laxmi Nagar,120000.0,,5.5,17.4709316,78.3324156
3134,Flexential,usa, TN, Franklin,425 Duke Drive,74679.0,14000.0,3.15,35.7730076,-86.2820081
3135,Lunavi,usa, WA, Bellingham,851 Coho Way,,,,47.2868352,-120.212613
3137,China Telecom,brazil, 01008-010, São Paulo - SP, 58 - Centro Histórico de São Paulo,,,,-23.546225635,-46.635654555
3138,Lumen,usa, IA, Pleasant Hill,4550 Carlisle Road,10000.0,570.0,,41.9216734,-93.3122705
3139,DartPoints,usa, LA 71101, Shreveport,601 Milam St,87000.0,73000.0,,,
3140,CyrusOne,usa, OH, Cincinnati,4600 McAuley Place,15000.0,8000.0,0.9,40.2253569,-82.6881395
3141,Lumen,usa, OH, Cleveland,4000 Chester Avenue,40000.0,3500.0,,40.2253569,-82.6881395
3142,Data Canopy,usa, KY 40210, Louisville,1208 Quality Choice Place,,8130.0,2.0,,
3143,Hivelocity,india, Uttar Pradesh 201301, Noida, Sector 63,,,,31.3658035,77.1115565
3144,Lumen,usa, CA, Sunnyvale,1380 Kifer Road,197100.0,44590.0,6.0,36.7014631,-118.755997
3145,Colocation America,usa, NY, Hawthorne,11 Skyline Dr,50000.0,40000.0,,43.1561681,-75.8449946
3146,Netrality Data Centers,usa, KS, Shawnee,7801 Nieman Road,,,,38.27312,-98.5821872
3147,DartPoints,usa, SC 29607, Greenville,78 Global Dr ste 100,25800.0,10500.0,,17.756638199999998,-64.58357751615026
3148,Telehouse,france, Paris,137 Boulevard Voltaire,,75347.0,75347.0,10.0,48.8588897,2.3200410217200766
3149,Zenlayer,vietnam, Ho Chi Minh City, District 7,Tân Phú,,,,10.7763897,106.7011391
3150,Equinix,usa, VA, Culpeper,18155 Technology Drive,117374.0,52669.0,25.0,37.1232245,-78.4927721
3151,Data Canopy,usa, TX, Carrollton,1649 West Frankford Road,670000.0,400000.0,60.0,31.2638905,-98.5456116
3152,Cogent Communications,usa, TX, Houston,12061 North Fwy,27460.0,27460.0,,31.2638905,-98.5456116
3154,Hivelocity,usa, TX, Dallas,1950 North Stemmons Freeway,,,,31.2638905,-98.5456116
3155,Equinix,canada, Ontario M5K 1J3, Toronto,100 Wellington Street West,21820.0,,,,
3156,China Telecom,usa, CA 95054, Santa Clara,3020 Coronado Dr,,,,,
3157,Data Canopy,usa, TX, Austin,7301 Metropolis Drive,70000.0,41000.0,9.0,31.2638905,-98.5456116
3158,China Telecom,china, Jiangsu, Wuxi,Xinwu,,,,33.0000001,119.9999999
3159,Zenlayer,usa, CA, Los Angeles,600 W 7th St,,,,36.7014631,-118.755997
3160,Flexential,usa, TN 37067, Franklin,4600 Carothers Parkway,80000.0,15000.0,6.0,,
3161,Cogent Communications,france, Poitiers,18/22 Boulevard Jeanne d'Arc,,,,,46.5802596,0.340196
3163,Xfernet,usa, IL, Chicago,350 East Cermak Road,,,,40.0796606,-89.4337288
3164,Lumen,usa, TN, Nashville,2530 Perimeter Place Drive,30400.0,10032.0,,35.7730076,-86.2820081
3165,CoreSite,usa, FL, Orlando,9701 South John Young Parkway,130000.0,,,27.7567667,-81.4639835
3166,Equinix,canada, Ontario L6S 5Z7, Brampton,30 Bramtree Court,23723.0,,,,
3167,ScaleMatrix,usa, NC, Charlotte,1805 Center Park Drive,60000.0,6000.0,20.0,35.6729639,-79.0392919
3168,Cogent Communications,usa, WA, Federal Way,32275 32nd Avenue South,33223.0,33223.0,,47.2868352,-120.212613
3169,Zenlayer,indonesia, Jawa Timur 60271, Kota SBY, Genteng,,,,-4.7273402,131.7565983
3170,Tel Networks Inc.,usa, IL, Chicago,600/700 South Federal Street,,,,40.0796606,-89.4337288
3171,"Ascenty, a Digital Realty Company",brazil, Vinhedo - State of São Paulo,Avenida João Batista Falssarela - Jardim dos Passaros,,26909.77,,0.036,,
3172,Lumen,usa, DE, Newark,504 Interchange Blvd,17440.0,3300.0,,38.6920451,-75.4013315
3173,Zenlayer,usa, CA, San Jose,9 Great Oaks Blvd,,,,36.7014631,-118.755997
3175,China Telecom,china, Sichuan Sheng, Chengdu Shi, Qingyang Qu,,,,30.5000001,102.4999999
3176,Xfernet,usa, CA, Los Angeles,624 South Grand Avenue,,,,36.7014631,-118.755997
3177,Cogent Communications,france,Lille,,,,,,50.6365654,3.0635282
3178,CyrusOne,usa, VA 20166, Sterling,43290 Old Ox Road,700000.0,400000.0,135.0,41.838558,-71.425049
3179,Telia Company,poland, Warsaw,Jutrzenki 177,,,,,52.2319581,21.0067249
3180,Colocation America,usa, PA, Bethlehem,3949 Schelden Circle,28000.0,,,40.9699889,-77.7278831
3181,DataBank,usa, UT 84065, Bluffdale, 14850 Pony Express Rd,50000.0,49180.0,10.0,,
3182,NorthC,netherlands, 5656 AG Eindhoven,High Tech Campus 53,,26910.0,13455.0,2.4,51.408257138461536,5.456286992307692
3183,China Telecom,usa, NJ 07102, Newark,165 Halsey Street,,,,,
3184,Azur Datacenter,france, Biot,950 Route des Colles,,10763.0,5382.0,1.6,43.6270041,7.0989546
3185,Tel Networks Inc.,canada, ON, Ottawa,410 Laurier Ave W,,,,50.000678,-86.000977
3186,Digital Realty,japan, Tokyo, Shinjuku City,Yamabukichō,92000.0,,12.0,35.6821936,139.762221
3187,China Telecom,china, Anhui, Wuhu, Jiujiang District,,,,32.0,117.0
3188,Digital Realty,usa, VA 20147, Ashburn,43940 Digital Loudoun Plaza bldg g,180000.0,,13.75,,
3189,Involta,usa, OH,Canton,,,5600.0,1.5,40.2253569,-82.6881395
3190,Digital Realty,japan, Osaka, Minoh,Saitoaokita,250000.0,,21.0,34.661629000000005,135.49992679245517
3191,Colocation America,usa, FL, Miami,36 NE 2nd St,12000.0,,1.8,27.7567667,-81.4639835
3192,Zenlayer,usa, TX, Dallas,1950 North Stemmons Freeway,,,4500.0,31.2638905,-98.5456116
3193,Colocation America,usa, PA, Eagleville,1000 Adams Ave,30000.0,8000.0,,40.9699889,-77.7278831
3194,Digital Realty,greece, Koropi 194 00,Ifestou 76,,9700.0,,0.828,37.8986169,23.8740711
3195,Prime Data Centers,usa, CA, McClellan Park,2408 Ak Street,150000.0,75000.0,18.0,36.7014631,-118.755997
3196,China Telecom,china, Guangdong Sheng, Guangzhou Shi, Nansha Qu,,,,23.1357694,113.1982688
3197,China Telecom,china, Guangdong Sheng, Guangzhou Shi, Yuexiu Qu,,,,23.1357694,113.1982688
3198,China Telecom,china, Hubei, Wuhan, Hongshan,,,,31.15305035,112.88064226239663
3199,China Telecom,china, Guangdong Province, Zhuhai, Xiangzhou,,,,23.1357694,113.1982688
3200,Cirion Technologies,ecuador, Quito,Juan Díaz 37-111,,6000.0,4500.0,4.0,-0.2201641,-78.5123274
3201,CoreSite,usa, VA, Reston,12098 Sunrise Valley Drive,188000.0,,,37.1232245,-78.4927721
3202,Data Canopy,usa, TX, Carrollton,1649 West Frankford Road,670000.0,400000.0,60.0,31.2638905,-98.5456116
3203,Cogent Communications,usa, TX, Houston,12061 North Fwy,27460.0,27460.0,,31.2638905,-98.5456116
3205,China Telecom,usa, CA 95054, Santa Clara,3020 Coronado Dr,,,,,
3206,Hivelocity,usa, TX, Dallas,1950 North Stemmons Freeway,,,,31.2638905,-98.5456116
3207,Equinix,canada, Ontario M5K 1J3, Toronto,100 Wellington Street West,21820.0,,,,
3208,Centersquare,usa, CA, Sunnyvale,1400 Kifer Rd,100573.0,49000.0,7.5,36.7014631,-118.755997
3209,Nxtra by Airtel,india, Maharashtra, Pune, Kharadi,,,3.0,18.9068356,75.6741579
3210,Netrality Data Centers,usa, IN, Indianapolis,701 West Henry Street,,,,40.3270127,-86.1746933
3211,Equinix,usa, VA, Culpeper,18155 Technology Drive,117374.0,52669.0,25.0,37.1232245,-78.4927721
3212,Digital Realty,usa, VA, Ashburn,21625 Gresham Drive,446000.0,,34.5,37.1232245,-78.4927721
3213,Netrality Data Centers,usa, KS, Shawnee,7801 Nieman Road,,,,38.27312,-98.5821872
3214,Equinix,canada, MB R3T 0P6, Winnipeg,1450 Waverley Street,64000.0,25000.0,,49.841247,-97.1529429
3215,Cologix,canada, BC, Vancouver,175 West Cordova Street,68000.0,,4.0,55.001251,-125.002441
3216,CyberNest,usa, CA 90245, El Segundo,445 North Douglas Street,,,,,
3217,China Telecom,usa, CA 90012, Los Angeles,900 N Alameda St,,,,,
3218,OneNeck IT Solutions,usa, AZ 85233, Gilbert,1655 West Sunrise Boulevard,14000.0,,,,
3219,TierPoint,usa, TX, Dallas,3004 Irving Boulevard,68000.0,52000.0,11.1,31.2638905,-98.5456116
3220,Digital Realty,germany, 60386 Frankfurt am Main,Hugo-Junkers-Straße 7a,,47000.0,,10.2,50.12682598083557,8.754990609888846
3221,24Shells Inc,usa, NJ, Piscataway,101 Possumtown Road,,,,40.0757384,-74.4041622
3222,GTA Data Centers,guam, Piti,320 Marine Corps Drive,,11800.0,7000.0,2.0,13.45011745,144.7577087765826
3223,Flexential,usa, FL, Fort Lauderdale,5301 Northwest 33rd Avenue,64164.0,22000.0,3.15,27.7567667,-81.4639835
3224,Enzu,usa, WA, Tukwila,12201 Tukwila International Boulevard,,,,47.2868352,-120.212613
3225,Lumen,usa, MI, Southfield,19675 West 10 Mile Road,39357.0,7488.0,,43.6211955,-84.6824346
3226,MOD Mission Critical,spain, 08038 Barcelona, 30,Carrer de l'Acer,32087.0,16016.0,,41.358756185432476,2.143212975113809
3227,QuadraNet,usa, IL, Elk Grove Village,1905 Lunt Avenue,114457.0,,,40.0796606,-89.4337288
3228,China Telecom,uk, London E14 2AX, Poplar,East India Dock House,,,,51.5156177,-0.0919983
3229,Cologix,usa, VA, Ashburn,21745 Beaumeade Circle,455000.0,,120.0,37.1232245,-78.4927721
3230,"Cato Digital, Inc",usa, NY, New York, Hudson Street,,,,43.1561681,-75.8449946
3231,Lumen,usa, CA, San Bernardino,5705 Industrial Parkway,20000.0,1140.0,,36.7014631,-118.755997
3232,Deft,netherlands, 1101 EC Amsterdam,Luttenbergweg,,115712.0,,,52.2996438,4.94315085
3233,Digital Realty,uk, London,11 Hanbury Street,,23465.0,,16.0,51.5074456,-0.1277653
3234,Dade2,usa, Florida,Miami,,,,,27.7567667,-81.4639835
3235,Lumen,usa, WA, Seattle,1000 Denny Way,48959.0,20376.0,,47.2868352,-120.212613
3236,China Telecom,australia, Ultimo NSW 2007,400 Harris Street,,,,,-33.8794728,151.1984346
3237,TierPoint,usa, WA 99019, Liberty Lake,23403 East Mission Avenue,32000.0,21000.0,,,
3238,Lumen,usa, LA, New Orleans,1250 Poydras Street,9379.0,2500.0,,34.0536909,-118.242766
3239,"Carroll-Net, Inc.",usa, NJ, Hackensack,905 Main St,,,,40.0757384,-74.4041622
3240,Equinix,uk, Slough SL1 4QZ,13 Liverpool Road,,387500.0,,,51.5111014,-0.5940682
3241,Limestone Networks,usa, UT, Salt Lake City,179 Social Hall Avenue,,,,39.4225192,-111.714358
3242,China Telecom,china, Guangdong, Shenzhen, Longgang,,,,23.1357694,113.1982688
3243,Centersquare,uk, Wokingham, Winnersh,Eskdale Road,60000.0,60000.0,5.6,51.4120318,-0.8324037
3244,"Ascenty, a Digital Realty Company",brazil, 02675-031, Osasco - SP, 306-744 - Vila Menck,96875.19,,14.0,-23.493941075,-46.75062385
